               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12392,            0.066464,             0.06266,           0.0002522,            0.038752,          0.00013304,          3.7979e-05,             0.11325,            0.044934,            0.061361,             0.00017,             0.00017,             0.09847
                   1,             0.11324,            0.039352,            0.059632,          0.00021251,            0.044407,          0.00014329,          6.1749e-05,            0.097077,            0.038303,            0.058194,          0.00034992,          0.00034992,             0.09685
                   2,            0.093825,            0.036531,            0.055563,             0.01172,            0.033766,           0.0037814,           0.0010248,            0.078887,            0.039113,            0.055547,          0.00052953,          0.00052953,             0.09523
                   3,            0.077152,            0.037184,            0.053825,            0.031695,            0.069819,            0.015767,            0.004628,             0.06616,             0.04082,            0.054022,          0.00070858,          0.00070858,            0.093609
                   4,              0.0653,            0.039994,            0.054125,             0.04523,             0.26607,            0.046595,            0.015529,            0.052905,            0.042463,            0.053431,          0.00088684,          0.00088684,            0.091987
                   5,            0.054078,            0.036615,            0.050696,            0.015856,             0.26702,            0.019571,           0.0049703,            0.052953,            0.040583,            0.053416,           0.0010641,           0.0010641,            0.090364
                   6,            0.049691,            0.037128,            0.053527,             0.17203,              0.2413,            0.097824,            0.044899,            0.048568,            0.036236,            0.053072,             0.00124,             0.00124,             0.08874
                   7,            0.047981,            0.036813,            0.053259,             0.23563,             0.22149,             0.13725,            0.076345,            0.049861,            0.030567,            0.053211,           0.0014145,           0.0014145,            0.087115
                   8,            0.047923,            0.030418,            0.052701,             0.28366,             0.33091,             0.14985,            0.055425,            0.052599,            0.025928,            0.052581,           0.0015872,           0.0015872,            0.085487
                   9,            0.057497,            0.025524,            0.052304,             0.19221,             0.34741,             0.18647,            0.051398,            0.058661,            0.023907,            0.051315,            0.001758,            0.001758,            0.083858
                  10,            0.057204,            0.023962,             0.05114,             0.12993,             0.27707,             0.13907,             0.04283,            0.059605,            0.023033,            0.050501,           0.0019266,           0.0019266,            0.082227
                  11,            0.056301,            0.022444,            0.050997,             0.35957,              0.3753,             0.25618,             0.11701,            0.046974,             0.02344,            0.050001,           0.0020928,           0.0020928,            0.080593
                  12,            0.052615,             0.02255,            0.050445,             0.32362,             0.46844,             0.28193,             0.13044,            0.053543,            0.020412,            0.049427,           0.0022564,           0.0022564,            0.078956
                  13,            0.053504,            0.020112,            0.050419,              0.4679,             0.54277,             0.39831,             0.16142,              0.0511,            0.019943,            0.048013,           0.0024171,           0.0024171,            0.077317
                  14,            0.051954,            0.020994,            0.048641,             0.55741,              0.4209,             0.48031,             0.24201,            0.042541,            0.020161,            0.046682,           0.0025748,           0.0025748,            0.075675
                  15,            0.048512,            0.018291,            0.047342,             0.47804,             0.48891,             0.48353,             0.16159,            0.046789,            0.018686,             0.04523,           0.0027292,           0.0027292,            0.074029
                  16,            0.048438,            0.017636,            0.045782,             0.41094,             0.57243,             0.43535,             0.14148,            0.047722,            0.018404,            0.042731,           0.0028802,           0.0028802,             0.07238
                  17,            0.051078,            0.017188,            0.042415,             0.58618,             0.54748,             0.54468,             0.24443,            0.036927,            0.018062,            0.040212,           0.0030276,           0.0030276,            0.070728
                  18,            0.049355,            0.016494,             0.04089,             0.40577,             0.68271,             0.42576,             0.15364,            0.044491,            0.016799,             0.03709,           0.0031711,           0.0031711,            0.069071
                  19,            0.050157,            0.015371,            0.036831,             0.63579,             0.68033,             0.64826,             0.30535,            0.037042,            0.016231,            0.034219,           0.0033106,           0.0033106,            0.067411
                  20,            0.049236,            0.015052,            0.034931,             0.39577,             0.62496,             0.38086,             0.12659,            0.050176,            0.014915,            0.031418,            0.003446,            0.003446,            0.065746
                  21,            0.051217,            0.014741,            0.033837,             0.52508,             0.73898,             0.56122,             0.24207,             0.04207,            0.014461,            0.029557,            0.003577,            0.003577,            0.064077
                  22,             0.04655,            0.013639,            0.032779,              0.5808,             0.70384,             0.65025,             0.26513,            0.040422,            0.013716,            0.028394,           0.0037035,           0.0037035,            0.062403
                  23,            0.047492,            0.012715,            0.028147,             0.45483,             0.76861,             0.61077,              0.2195,            0.039314,            0.013656,            0.026299,           0.0038253,           0.0038253,            0.060725
                  24,            0.049478,            0.013144,            0.029223,             0.55228,             0.80734,             0.74546,               0.385,            0.041444,            0.013489,            0.025383,           0.0039424,           0.0039424,            0.059042
                  25,            0.046295,            0.012369,            0.027197,              0.6016,             0.82702,             0.74019,             0.33782,            0.040872,            0.013059,             0.02476,           0.0040545,           0.0040545,            0.057354
                  26,            0.044766,            0.012514,            0.025348,             0.56795,             0.89109,             0.77992,             0.46314,             0.04573,            0.011953,            0.023442,           0.0041615,           0.0041615,            0.055662
                  27,            0.048968,            0.011869,            0.026965,             0.53442,             0.85861,             0.73136,             0.39322,            0.041962,            0.012016,            0.022988,           0.0042634,           0.0042634,            0.053963
                  28,            0.052247,            0.012696,            0.024611,             0.47898,             0.78438,              0.6767,             0.28752,            0.044969,            0.012037,            0.022365,           0.0043599,           0.0043599,             0.05226
                  29,            0.051447,            0.012255,            0.023216,             0.56272,             0.86148,             0.73916,             0.41666,            0.034289,            0.012068,            0.021553,           0.0044511,           0.0044511,            0.050551
                  30,              0.0485,            0.012434,            0.022745,             0.55563,              0.8384,              0.6807,             0.30571,            0.040765,            0.012354,            0.021387,           0.0045368,           0.0045368,            0.048837
                  31,            0.050742,            0.011017,            0.023058,             0.58367,             0.89786,              0.7743,             0.44531,             0.03306,            0.011965,            0.020996,           0.0046169,           0.0046169,            0.047117
                  32,            0.047271,            0.010701,            0.020659,             0.71159,             0.78209,             0.78541,             0.49859,            0.037664,            0.011459,            0.019743,           0.0046914,           0.0046914,            0.045391
                  33,            0.047142,            0.011512,            0.020874,             0.67482,             0.85191,             0.78966,             0.48242,            0.034187,            0.011437,            0.018843,           0.0047601,           0.0047601,             0.04366
                  34,             0.04596,            0.010695,            0.018762,             0.53596,             0.88912,              0.7565,             0.35011,            0.041272,            0.011365,            0.017912,           0.0048231,           0.0048231,            0.041923
                  35,            0.045223,            0.010598,            0.019723,             0.51793,             0.83546,             0.68283,             0.26064,            0.034503,            0.011172,            0.017396,           0.0048803,           0.0048803,             0.04018
                  36,            0.047181,           0.0098629,            0.016942,              0.6445,              0.8779,             0.79448,             0.42899,            0.035133,            0.010543,            0.017479,           0.0049316,           0.0049316,            0.038432
                  37,            0.043974,            0.010283,             0.01761,             0.58604,              0.8766,             0.71594,             0.44363,            0.031491,            0.010545,             0.01648,           0.0049771,           0.0049771,            0.036677
                  38,            0.044165,           0.0094436,            0.015863,             0.55518,             0.87952,             0.74108,              0.4538,             0.03269,            0.010845,            0.016862,           0.0050167,           0.0050167,            0.034917
                  39,            0.042723,            0.010007,            0.016901,             0.64893,             0.84525,             0.81874,             0.55983,            0.029109,            0.010247,            0.015519,           0.0050505,           0.0050505,             0.03315
                  40,             0.04328,           0.0099418,            0.015392,             0.68641,              0.8854,             0.80747,             0.46992,            0.029979,            0.010053,            0.015355,           0.0050784,           0.0050784,            0.031378
                  41,            0.042905,            0.010067,            0.015954,             0.57782,             0.94681,             0.80261,             0.49869,            0.031046,           0.0099253,            0.015734,           0.0051004,           0.0051004,              0.0296
